Date,Close,Volume
01/22/2021,139.07,114459400
01/21/2021,136.87,120529500
01/20/2021,132.03,104319500
01/19/2021,127.83,90757330
01/15/2021,127.14,111598500
01/14/2021,128.91,90221760
01/13/2021,130.89,88636830
01/12/2021,128.8,91951150
01/11/2021,128.98,100620900
01/08/2021,132.05,105158200
01/07/2021,130.92,109578200
01/06/2021,126.6,155088000
01/05/2021,131.01,97664900
01/04/2021,129.41,143301900
12/31/2020,132.69,99116590
12/30/2020,133.72,96452120
12/29/2020,134.87,121047300
12/28/2020,136.69,124486200
12/24/2020,131.97,54930060
12/23/2020,130.96,88223690
12/22/2020,131.88,169351800
12/21/2020,128.23,121251600
12/18/2020,126.66,192541500
12/17/2020,128.7,94359810
12/16/2020,127.81,98208590
12/15/2020,127.88,157572300
12/14/2020,121.78,79075990
12/11/2020,122.41,86939790
12/10/2020,123.24,81312170
12/09/2020,121.78,115089200
12/08/2020,124.38,82225510
12/07/2020,123.75,86711990
12/04/2020,122.25,78260420
12/03/2020,122.94,78967630
12/02/2020,123.08,89004200
12/01/2020,122.72,128166800
11/30/2020,119.05,169410200
11/27/2020,116.59,46691330
11/25/2020,116.03,76499230
11/24/2020,115.17,113874200
11/23/2020,113.85,127959300
11/20/2020,117.34,73604290
11/19/2020,118.64,74112970
11/18/2020,118.03,76322110
11/17/2020,119.39,74270970
11/16/2020,120.3,91183020
11/13/2020,119.26,81688590
11/12/2020,119.21,103350700
11/11/2020,119.49,112295000
11/10/2020,115.97,138023400
11/09/2020,116.32,154515300
11/06/2020,118.69,114457900
11/05/2020,119.03,126387100
11/04/2020,114.95,138235500
11/03/2020,110.44,107624400
11/02/2020,108.77,122866900
10/30/2020,108.86,190573500
10/29/2020,115.32,146129200
10/28/2020,111.2,143937800
10/27/2020,116.6,92276770
10/26/2020,115.05,111850700
10/23/2020,115.04,82572650
10/22/2020,115.75,101988000
10/21/2020,116.87,89945980
10/20/2020,117.51,124423700
10/19/2020,115.98,120639300
10/16/2020,119.02,115393800
10/15/2020,120.71,112559200
10/14/2020,121.19,151062300
10/13/2020,121.1,262330500
10/12/2020,124.4,240226800
10/09/2020,116.97,100506900
10/08/2020,114.97,83477150
10/07/2020,115.08,96848990
10/06/2020,113.16,161498200
10/05/2020,116.5,106243800
10/02/2020,113.02,144712000
10/01/2020,116.79,116120400
09/30/2020,115.81,142675200
09/29/2020,114.09,100060500
09/28/2020,114.96,137672400
09/25/2020,112.28,149981400
09/24/2020,108.22,167743300
09/23/2020,107.12,150718700
09/22/2020,111.81,183055400
09/21/2020,110.08,195713800
09/18/2020,106.84,287104900
09/17/2020,110.34,178011000
09/16/2020,112.13,155026700
09/15/2020,115.54,184642000
09/14/2020,115.36,140150100
09/11/2020,112.0,180860300
09/10/2020,113.49,182274400
09/09/2020,117.32,176940500
09/08/2020,112.82,231366600
09/04/2020,120.96,332607200
09/03/2020,120.88,257599600
